smile_fold1,target_fold1,prediction_fold1,smile_fold1
NC(=O)OCCCCCC,-1.92,-1.6654625,NC(=O)OCCCCCC
OCC(O)C(O)C(O)C(O)CO,1.09,0.196504415,OCC(O)C(O)C(O)C(O)CO
c1ccc(Cl)cc1Br,-3.21,-3.3356565,c1ccc(Cl)cc1Br
CCCCS,-2.18,-1.72808685,CCCCS
N(Nc(cccc1)c1)c(cccc2)c2,-2.92,-3.165481,N(Nc(cccc1)c1)c(cccc2)c2
COC(C)C,-0.06,0.190339165,COC(C)C
CCCOCCC,-1.62,-0.9276318,CCCOCCC
Oc(cc(c(c1C)Cl)C)c1,-2.8,-2.0709635,Oc(cc(c(c1C)Cl)C)c1
O=C(OC)C(=C)C,-0.8,-0.3361448,O=C(OC)C(=C)C
COc2ccc1cc(ccc1c2)C(C)C(O)=O,-4.16,-3.163614,COc2ccc1cc(ccc1c2)C(C)C(O)=O
O=C1NC(=O)NC(=O)C1(CC)C2=CC(C3)CCC3C2,-2.64,-3.0532445,O=C1NC(=O)NC(=O)C1(CC)C2=CC(C3)CCC3C2
c1cc(O)ccc1O,-0.17,-0.081786181,c1cc(O)ccc1O
c1cccc(N)c1C(=O)O,-1.52,-1.0484514,c1cccc(N)c1C(=O)O
c1c(C)cc(C)cc1O,-1.4,-1.2320034,c1c(C)cc(C)cc1O
O(C(OCC)C)CC,-0.43,-0.624360775,O(C(OCC)C)CC
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14,-2.732385,CC1=C(SCCO1)C(=O)Nc2ccccc2
c1ccc2C(O)=C(C(c3ccccc3)CC(=O)C)C(=O)Oc2c1,-3.89,-4.702916,c1ccc2C(O)=C(C(c3ccccc3)CC(=O)C)C(=O)Oc2c1
c1ccccc1C(C)CC,-3.89,-3.8726615,c1ccccc1C(C)CC
c1cc(Cl)c(Cl)c(Cl)c1Cl,-4.57,-4.6321155,c1cc(Cl)c(Cl)c(Cl)c1Cl
c1c(C)nc2cncnc2n1,0.06,-1.24594405,c1c(C)nc2cncnc2n1
c1cccc(Cl)c1c2c(Cl)cccc2,-5.27,-5.6118225,c1cccc(Cl)c1c2c(Cl)cccc2
